epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7729856371879578,0.6620973944664001,1e-04,0.926877498626709,0.22495773434638977
1,0.932155191898346,0.2037595808506012,1e-04,0.9451581239700317,0.15874134004116058
2,0.9583539366722107,0.12701107561588287,1e-04,0.9515810012817383,0.13828177750110626
3,0.969476044178009,0.09048023074865341,1e-04,0.9550395011901855,0.13883158564567566
4,0.9829460978507996,0.06094412878155708,1e-04,0.9599802494049072,0.13162702322006226
5,0.9838111996650696,0.049164753407239914,1e-04,0.9530632495880127,0.14732225239276886
6,0.9872713685035706,0.03953323885798454,1e-04,0.9639328122138977,0.11499463766813278
7,0.9883835911750793,0.03477431461215019,1e-04,0.967391312122345,0.10123907774686813
8,0.9923381209373474,0.02514856494963169,1e-04,0.9520751237869263,0.1606016755104065
9,0.9961690306663513,0.015892714262008667,1e-04,0.9683794379234314,0.10813606530427933
10,0.993697464466095,0.019964590668678284,1e-04,0.9659090638160706,0.11110230535268784
11,0.9951804280281067,0.01578943058848381,1e-04,0.9614624381065369,0.14132317900657654
12,0.9964162111282349,0.01269591599702835,1e-04,0.9654150009155273,0.12224604189395905
13,0.9953039884567261,0.014909136109054089,1e-04,0.9688735008239746,0.11461023986339569
14,0.9943153858184814,0.015497063286602497,1e-04,0.9683794379234314,0.11963056772947311
15,0.9964162111282349,0.01270686648786068,1e-04,0.9634387493133545,0.15013357996940613
16,0.9985170364379883,0.007214538287371397,1e-04,0.9723320007324219,0.1235676184296608
17,0.9971576929092407,0.008849349804222584,1e-04,0.9683794379234314,0.1298850178718567
