epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8370773792266846,0.5030291676521301,1e-04,0.24332740902900696,1.9491318464279175
1,0.9598532319068909,0.11535321176052094,1e-04,0.24332740902900696,2.7033753395080566
2,0.9845418334007263,0.046312399208545685,1e-04,0.25088968873023987,2.623823642730713
3,0.9928825497627258,0.026597745716571808,1e-04,0.24332740902900696,3.5984277725219727
4,0.9889901876449585,0.031650278717279434,1e-04,0.26556938886642456,3.9210269451141357
5,0.9860987663269043,0.04287770390510559,1e-04,0.2437722384929657,3.7040910720825195
6,0.9889901876449585,0.03224501758813858,1e-04,0.31628113985061646,6.41470193862915
7,0.9895462393760681,0.02989698387682438,1e-04,0.24332740902900696,3.0189368724823
8,0.9892126321792603,0.028791340067982674,1e-04,0.24599644541740417,3.544734239578247
9,0.992548942565918,0.020836764946579933,1e-04,0.18594306707382202,2.863121271133423
10,0.9917704463005066,0.024850085377693176,1e-04,0.25800710916519165,2.423251152038574
11,0.9908807873725891,0.026269782334566116,1e-04,0.32606762647628784,3.5923216342926025
12,0.99099200963974,0.025940729305148125,1e-04,0.31494662165641785,3.082847833633423
13,0.9917704463005066,0.023346353322267532,1e-04,0.31494662165641785,3.624666452407837
14,0.9957740306854248,0.013885035179555416,1e-04,0.42126333713531494,3.1012723445892334
15,0.9977757930755615,0.007337714545428753,1e-04,0.6432384252548218,1.65790593624115
16,0.9905471801757812,0.025976361706852913,1e-04,0.41770461201667786,3.363607883453369
17,0.9935498237609863,0.020807316526770592,1e-04,0.6410142183303833,2.9905714988708496
18,0.9981094598770142,0.005174656398594379,1e-04,0.6525800824165344,3.4457955360412598
19,0.9995551705360413,0.0015917087439447641,1e-04,0.7273131608963013,2.390697956085205
20,1.0,0.00017196194676216692,1e-04,0.767793595790863,1.890438199043274
21,1.0,6.079801096348092e-05,1e-04,0.7922598123550415,1.5863666534423828
22,1.0,4.451491258805618e-05,1e-04,0.814056932926178,1.3946837186813354
23,1.0,3.5020802897633985e-05,1e-04,0.8220640420913696,1.2810888290405273
24,1.0,2.861086613847874e-05,1e-04,0.8256227970123291,1.2815594673156738
25,1.0,2.403509643045254e-05,1e-04,0.8309608697891235,1.2084059715270996
26,1.0,2.0267489162506536e-05,1e-04,0.8327401876449585,1.184962511062622
27,1.0,1.733371027512476e-05,1e-04,0.8354092240333557,1.1443524360656738
28,1.0,1.5018461454019416e-05,1e-04,0.8358541131019592,1.1288187503814697
29,1.0,1.2992115443921648e-05,1e-04,0.836298942565918,1.136379599571228
30,1.0,1.0873499377339613e-05,1e-04,0.8380783200263977,1.1362191438674927
31,1.0,9.320809112978168e-06,1e-04,0.8438612222671509,1.106366515159607
32,1.0,8.274651918327436e-06,1e-04,0.8411921858787537,1.1195026636123657
33,1.0,7.1296490204986185e-06,1e-04,0.8460854291915894,1.1143203973770142
34,1.0,6.303032023424748e-06,1e-04,0.8460854291915894,1.1124873161315918
35,1.0,5.323267487256089e-06,1e-04,0.8438612222671509,1.1325125694274902
36,1.0,4.6960399231466e-06,1e-04,0.8416370153427124,1.1512553691864014
37,1.0,4.11314476878033e-06,1e-04,0.8451957106590271,1.1210328340530396
38,1.0,3.537037173373392e-06,1e-04,0.8434163928031921,1.134212613105774
39,1.0,3.075896529480815e-06,1e-04,0.8443060517311096,1.1590163707733154
40,1.0,2.6005443487520097e-06,1e-04,0.8451957106590271,1.139629602432251
41,1.0,2.3443078589480137e-06,1e-04,0.8474199175834656,1.1476998329162598
42,1.0,2.047981752184569e-06,1e-04,0.8469750881195068,1.1751959323883057
43,1.0,1.825471827032743e-06,1e-04,0.8411921858787537,1.1978873014450073
44,1.0,1.6114465779537568e-06,1e-04,0.8456405401229858,1.1864287853240967
45,1.0,1.3250897836769582e-06,1e-04,0.8456405401229858,1.177352786064148
46,1.0,1.1131857036161819e-06,1e-04,0.8505337834358215,1.1549652814865112
47,1.0,9.867644621408544e-07,1e-04,0.8478647470474243,1.2105367183685303
48,1.0,8.391315873268468e-07,1e-04,0.8438612222671509,1.2210931777954102
49,1.0,7.496185503441666e-07,1e-04,0.8451957106590271,1.2312716245651245
