,precision,recall,f1-score,support
coccidiosis,0.9510961214165261,0.9608177172061328,0.9559322033898304,587.0
healthy,0.632438739789965,0.9908592321755028,0.7720797720797722,547.0
newcastle disease,0.9972527472527473,0.6313043478260869,0.7731629392971245,575.0
salmo,0.9930875576036866,0.7996289424860853,0.8859198355601233,539.0
accuracy,0.8451957295373665,0.8451957295373665,0.8451957295373665,0.8451957295373665
macro avg,0.8934687915157313,0.845652559923452,0.8467736875817126,2248.0
weighted avg,0.8954323563858223,0.8451957295373665,0.8476598399378197,2248.0
