,precision,recall,f1-score,support
coccidiosis,0.9471766848816029,0.8858603066439523,0.9154929577464789,587.0
healthy,0.6880222841225627,0.903107861060329,0.7810276679841899,547.0
newcastle disease,0.8723776223776224,0.8678260869565217,0.8700959023539669,575.0
salmo,0.9119804400977995,0.6920222634508348,0.7869198312236287,539.0
accuracy,0.8389679715302492,0.8389679715302492,0.8389679715302492,0.8389679715302492
macro avg,0.854889257869897,0.8372041295279096,0.838384089827066,2248.0
weighted avg,0.8565460380428779,0.8389679715302492,0.8403342675567623,2248.0
