epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5688389539718628,1.00927734375,1e-04,0.6045373678207397,0.9426625967025757
1,0.7105204463005066,0.7403455972671509,1e-04,0.7126334309577942,0.7588029503822327
2,0.778136134147644,0.5855022072792053,1e-04,0.7504448294639587,0.6690912842750549
3,0.8178380727767944,0.48639199137687683,1e-04,0.7629003524780273,0.6442688703536987
4,0.8517571091651917,0.4029662609100342,1e-04,0.7944839596748352,0.5643036961555481
5,0.8787811398506165,0.3404856026172638,1e-04,0.7909252643585205,0.5978743433952332
6,0.8911254405975342,0.29915958642959595,1e-04,0.7864768505096436,0.6462185382843018
7,0.9095863103866577,0.24799561500549316,1e-04,0.7464413046836853,0.7877470850944519
8,0.9215970039367676,0.21959970891475677,1e-04,0.8024911284446716,0.6257971525192261
9,0.9329403638839722,0.1898922622203827,1e-04,0.8069394826889038,0.6566609740257263
10,0.940391480922699,0.17057040333747864,1e-04,0.8029359579086304,0.6871737837791443
11,0.9426156878471375,0.15882699191570282,1e-04,0.8038256168365479,0.6505357027053833
12,0.9547375440597534,0.13100609183311462,1e-04,0.8073843121528625,0.6923419833183289
13,0.9545150995254517,0.1235974133014679,1e-04,0.8171707987785339,0.641785740852356
14,0.9616325497627258,0.11176855117082596,1e-04,0.8389679789543152,0.5392692685127258
15,0.9651913046836853,0.10394371300935745,1e-04,0.8198398351669312,0.6874530911445618
16,0.9680827260017395,0.09497199952602386,1e-04,0.8434163928031921,0.5856195092201233
17,0.9677491188049316,0.0902334600687027,1e-04,0.8336299061775208,0.6615168452262878
18,0.9680827260017395,0.08705233037471771,1e-04,0.8104982376098633,0.7749214768409729
19,0.9699733257293701,0.08794590085744858,1e-04,0.8322953581809998,0.7070642709732056
20,0.9755337834358215,0.07436763495206833,1e-04,0.8403024673461914,0.6158955693244934
21,0.9786477088928223,0.06232452392578125,1e-04,0.8189501762390137,0.7954813838005066
22,0.9807606935501099,0.06314191967248917,1e-04,0.8282918334007263,0.7697319388389587
23,0.9720863103866577,0.07477579265832901,1e-04,0.8185053467750549,0.7852466106414795
24,0.9776467680931091,0.067299023270607,1e-04,0.8491992950439453,0.6671172976493835
25,0.9785364866256714,0.06362596154212952,1e-04,0.8558719158172607,0.6442227959632874
26,0.9794261455535889,0.060414012521505356,1e-04,0.8265124559402466,0.8169987797737122
27,0.979092538356781,0.06049100682139397,1e-04,0.8309608697891235,0.7802690863609314
28,0.9808719158172607,0.05781521275639534,1e-04,0.8220640420913696,0.8347680568695068
29,0.9820951819419861,0.05425489321351051,1e-04,0.833185076713562,0.7575305700302124
30,0.982206404209137,0.049085959792137146,1e-04,0.8469750881195068,0.6816410422325134
31,0.979092538356781,0.05979759246110916,1e-04,0.8256227970123291,0.7903918027877808
32,0.9795373678207397,0.05844845250248909,1e-04,0.8314056992530823,0.7337811589241028
33,0.9864323735237122,0.03795463964343071,1e-04,0.836298942565918,0.7976395487785339
34,0.9850978851318359,0.043067339807748795,1e-04,0.8403024673461914,0.7441197633743286
35,0.9815391302108765,0.05066170543432236,1e-04,0.8661032319068909,0.6046079397201538
36,0.9863211512565613,0.039347611367702484,1e-04,0.8598754405975342,0.6960631608963013
37,0.9838745594024658,0.04470866546034813,1e-04,0.8282918334007263,0.8152870535850525
38,0.9840970039367676,0.04939847066998482,1e-04,0.8536477088928223,0.6510165929794312
39,0.9858763217926025,0.04030969738960266,1e-04,0.8483096361160278,0.7169076800346375
40,0.9877669215202332,0.03242860734462738,1e-04,0.8416370153427124,0.73447185754776
41,0.9905471801757812,0.032995834946632385,1e-04,0.8287366628646851,0.719910740852356
42,0.9892126321792603,0.03164032846689224,1e-04,0.8589857816696167,0.63840252161026
43,0.9849866628646851,0.04572201892733574,1e-04,0.815391480922699,0.8497360348701477
44,0.9869884252548218,0.035879842936992645,1e-04,0.8505337834358215,0.6683041453361511
45,0.9870996475219727,0.034798819571733475,1e-04,0.8532028198242188,0.6954827904701233
46,0.9886565804481506,0.03205765783786774,1e-04,0.8398576378822327,0.7464664578437805
47,0.9908807873725891,0.026250991970300674,1e-04,0.8447508811950684,0.7009981274604797
48,0.9839857816696167,0.04527418315410614,1e-04,0.8434163928031921,0.7179940938949585
49,0.9886565804481506,0.032589931041002274,1e-04,0.8389679789543152,0.7530912756919861
