epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.857019305229187,9.999999747378752e-05,0.3833623230457306,0.7223320007324219,0.754270613193512
1,0.9807217121124268,9.999999747378752e-05,0.06275235861539841,0.7915019989013672,0.654223620891571
2,0.9974048733711243,9.999999747378752e-05,0.011082095094025135,0.8325098752975464,0.5380540490150452
3,0.9990113973617554,9.999999747378752e-05,0.0036293095909059048,0.8542490005493164,0.4842391312122345
4,0.9997528195381165,9.999999747378752e-05,0.002158176386728883,0.8759881258010864,0.42920491099357605
5,0.9998764395713806,9.999999747378752e-05,0.001426268252544105,0.8927865624427795,0.4003075361251831
6,1.0,9.999999747378752e-05,0.00031875682179816067,0.9011857509613037,0.385545015335083
7,1.0,9.999999747378752e-05,0.00016782073362264782,0.9115612506866455,0.36258721351623535
8,1.0,9.999999747378752e-05,0.00012053132377332076,0.9165019989013672,0.34624341130256653
9,1.0,9.999999747378752e-05,9.066893835552037e-05,0.9219367504119873,0.3329075872898102
10,1.0,9.999999747378752e-05,7.019661279628053e-05,0.9258893132209778,0.3205384314060211
11,1.0,9.999999747378752e-05,5.544192754314281e-05,0.9303359389305115,0.3118334412574768
12,1.0,9.999999747378752e-05,4.451837594388053e-05,0.9323122501373291,0.3051545023918152
13,1.0,9.999999747378752e-05,3.6168392398394644e-05,0.9362648129463196,0.29818791151046753
14,1.0,9.999999747378752e-05,2.9650698706973344e-05,0.9392292499542236,0.29218941926956177
15,1.0,9.999999747378752e-05,2.451199179631658e-05,0.9402173757553101,0.28689977526664734
16,1.0,9.999999747378752e-05,2.041383231699001e-05,0.9421936869621277,0.2821248471736908
17,1.0,9.999999747378752e-05,1.7070386093109846e-05,0.9446640610694885,0.27819254994392395
18,1.0,9.999999747378752e-05,1.4337430002342444e-05,0.9431818127632141,0.2746451795101166
19,1.0,9.999999747378752e-05,1.2103349945391528e-05,0.9461462497711182,0.27160754799842834
20,1.0,9.999999747378752e-05,1.0249262231809553e-05,0.9476284384727478,0.2705310583114624
21,1.0,9.999999747378752e-05,8.716814591025468e-06,0.948616623878479,0.2698969841003418
22,1.0,9.999999747378752e-05,7.429020115523599e-06,0.9491106867790222,0.2689465582370758
23,1.0,9.999999747378752e-05,6.3499619500362314e-06,0.9505928754806519,0.2676524817943573
24,1.0,9.999999747378752e-05,5.444165708468063e-06,0.9505928754806519,0.2670673131942749
25,1.0,9.999999747378752e-05,4.684146460931515e-06,0.9520751237869263,0.2676585912704468
26,1.0,9.999999747378752e-05,4.033690402138745e-06,0.9510869383811951,0.2680976092815399
27,1.0,9.999999747378752e-05,3.484370154183125e-06,0.9510869383811951,0.268167108297348
28,1.0,9.999999747378752e-05,3.019603582288255e-06,0.9515810012817383,0.2680302858352661
29,1.0,9.999999747378752e-05,2.6228767637803685e-06,0.9505928754806519,0.26968491077423096
