epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8728373646736145,0.35619881749153137,1e-04,0.6758893132209778,0.845575749874115
1,0.983564019203186,0.05557078495621681,1e-04,0.7643280625343323,0.6627559065818787
2,0.9965397715568542,0.014339503832161427,1e-04,0.8349802494049072,0.48239484429359436
3,0.9990113973617554,0.0037981118075549603,1e-04,0.8636363744735718,0.4139529764652252
4,0.9996292591094971,0.00211484357714653,1e-04,0.885869562625885,0.37656328082084656
5,0.9997528195381165,0.0012159697944298387,1e-04,0.8878458738327026,0.39420315623283386
6,1.0,0.00035764049971476197,1e-04,0.9006916880607605,0.3692004680633545
7,1.0,0.0001509937719674781,1e-04,0.9204545617103577,0.33353662490844727
8,1.0,0.0001052573206834495,1e-04,0.9288537502288818,0.3070979416370392
9,1.0,7.922577060526237e-05,1e-04,0.9352766871452332,0.28605446219444275
10,1.0,6.165256490930915e-05,1e-04,0.9397233128547668,0.27021536231040955
11,1.0,4.905359310214408e-05,1e-04,0.9431818127632141,0.2552683651447296
12,1.0,3.9678368921158835e-05,1e-04,0.9471343755722046,0.24106673896312714
13,1.0,3.2426458346890286e-05,1e-04,0.9505928754806519,0.2275022715330124
14,1.0,2.677683369256556e-05,1e-04,0.9540513753890991,0.21557244658470154
15,1.0,2.227587356173899e-05,1e-04,0.9570158123970032,0.20608089864253998
16,1.0,1.864435034804046e-05,1e-04,0.9580039381980896,0.19852818548679352
17,1.0,1.568503830640111e-05,1e-04,0.9584980010986328,0.1929100751876831
18,1.0,1.3247463357402012e-05,1e-04,0.9604743123054504,0.18804439902305603
19,1.0,1.123171932704281e-05,1e-04,0.9609683752059937,0.1838511824607849
20,1.0,9.551062248647213e-06,1e-04,0.9624505639076233,0.18127375841140747
21,1.0,8.144740604620893e-06,1e-04,0.9639328122138977,0.18010349571704865
22,1.0,6.951409886823967e-06,1e-04,0.9654150009155273,0.17858561873435974
23,1.0,5.958166184427682e-06,1e-04,0.9668972492218018,0.1771431714296341
24,1.0,5.111444352223771e-06,1e-04,0.9664031863212585,0.17790676653385162
25,1.0,4.394155894260621e-06,1e-04,0.9664031863212585,0.17890778183937073
26,1.0,3.7788697682117345e-06,1e-04,0.9664031863212585,0.18008504807949066
27,1.0,3.252681153753656e-06,1e-04,0.9664031863212585,0.181138813495636
28,1.0,2.799974481604295e-06,1e-04,0.9659090638160706,0.18193984031677246
