,precision,recall,f1-score,support
coccidiosis,0.986013986013986,0.9608177172061328,0.9732528041415013,587.0
healthy,0.9131944444444444,0.9616087751371115,0.9367764915405165,547.0
newcastle disease,0.985480943738657,0.9443478260869566,0.9644760213143873,575.0
salmo,0.9562841530054644,0.974025974025974,0.9650735294117647,539.0
accuracy,0.9599644128113879,0.9599644128113879,0.9599644128113879,0.9599644128113879
macro avg,0.960243381800638,0.9602000731140437,0.9598947116020424,2248.0
weighted avg,0.9610303701161007,0.9599644128113879,0.9601710327012623,2248.0
