epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9789081811904907,0.07425978779792786,1e-04,0.97817462682724,0.08483495563268661
1,0.9857320189476013,0.05292205885052681,1e-04,0.9732142686843872,0.08321249485015869
2,0.9866005182266235,0.044683996587991714,1e-04,0.9771825671195984,0.09493466466665268
3,0.9888337254524231,0.03937627375125885,1e-04,0.9771825671195984,0.0915931910276413
4,0.9919354915618896,0.031295038759708405,1e-04,0.9732142686843872,0.10716085880994797
5,0.994168758392334,0.02296917699277401,1e-04,0.9811508059501648,0.0900186225771904
6,0.994168758392334,0.02180921472609043,1e-04,0.9811508059501648,0.08342214673757553
7,0.9946650266647339,0.019199851900339127,1e-05,0.9846230149269104,0.06944620609283447
8,0.9950371980667114,0.014877158217132092,1e-05,0.9851190447807312,0.06701946258544922
9,0.9964019656181335,0.013440006412565708,1e-05,0.988095223903656,0.059986744076013565
10,0.996277928352356,0.012621959671378136,1e-05,0.9890872836112976,0.056611962616443634
11,0.9968982338905334,0.011175574734807014,1e-05,0.9885912537574768,0.05613479018211365
12,0.9961538314819336,0.010820239782333374,1e-05,0.9890872836112976,0.05538114160299301
13,0.995781660079956,0.01197331678122282,1e-05,0.9885912537574768,0.05455951765179634
14,0.9964019656181335,0.010180548764765263,1e-05,0.988095223903656,0.05441157519817352
15,0.9968982338905334,0.010208141058683395,1e-05,0.9885912537574768,0.05374429374933243
16,0.9971464276313782,0.010067841969430447,1e-05,0.9890872836112976,0.052683424204587936
17,0.9967741966247559,0.009351787157356739,1e-05,0.988095223903656,0.05628092586994171
18,0.9971464276313782,0.009067995473742485,1e-05,0.9890872836112976,0.05294662341475487
19,0.9965260624885559,0.009804297238588333,1e-05,0.9885912537574768,0.05271286517381668
20,0.9973945617675781,0.008557051420211792,1e-05,0.9890872836112976,0.05357414856553078
21,0.9971464276313782,0.00881805270910263,1e-05,0.9895833134651184,0.056238722056150436
22,0.9972704648971558,0.007574886083602905,1e-06,0.9890872836112976,0.055650003254413605
23,0.997890830039978,0.0076647354289889336,1e-06,0.9900793433189392,0.055526476353406906
24,0.9973945617675781,0.007852939888834953,1e-06,0.9890872836112976,0.05539210885763168
25,0.9977667331695557,0.00781916081905365,1e-06,0.9900793433189392,0.05375302955508232
26,0.9977667331695557,0.007766358554363251,1e-06,0.9900793433189392,0.05431002005934715
