,precision,recall,f1-score,support
coccidiosis,0.9981751824817519,0.9318568994889267,0.9638766519823789,587.0
healthy,0.8807947019867549,0.9725776965265083,0.9244135534317985,547.0
newcastle disease,0.9927536231884058,0.9530434782608695,0.9724933451641525,575.0
salmo,0.9522058823529411,0.961038961038961,0.956602031394275,539.0
accuracy,0.9541814946619217,0.9541814946619217,0.9541814946619217,0.9541814946619217
macro avg,0.9559823475024634,0.9546292588288164,0.9543463954931513,2248.0
weighted avg,0.9572045542816334,0.9541814946619217,0.9547339754589645,2248.0
