                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.222,                 1.0355,                 1.4576,                 1.3202,                 1.1788,                 1.4713,                0.83904,                0.78172,                0.84856,                0.54219,                 1.2558,                0.84083,                 1.5684,                  1.327,                0.84764,                 1.6013,               0.007822,               0.007822,               0.007822
                     25,                 1.2001,                 1.0158,                 1.4422,                 1.2982,                 1.1526,                 1.4567,                0.82403,                0.77114,                0.84959,                0.53973,                 1.2671,                0.83523,                 1.5815,                 1.3337,                0.86146,                 1.5998,               0.007723,               0.007723,               0.007723
                     26,                 1.2081,                 1.0117,                 1.4476,                 1.2976,                 1.1574,                 1.4562,                0.86298,                0.75917,                 0.8533,                0.55132,                 1.2387,                0.83207,                  1.544,                 1.3153,                0.84111,                 1.5786,               0.007624,               0.007624,               0.007624
                     27,                 1.2072,                 1.0125,                 1.4408,                 1.3029,                 1.1337,                 1.4495,                 0.8069,                0.77435,                0.84572,                0.53663,                 1.2454,                0.84012,                  1.555,                 1.3135,                0.86543,                 1.5802,               0.007525,               0.007525,               0.007525
                     28,                 1.1951,                 1.0065,                 1.4342,                 1.2897,                 1.1397,                 1.4465,                0.87918,                0.74958,                0.85716,                0.54897,                 1.2452,                0.81656,                 1.5469,                 1.3155,                0.81794,                 1.5745,               0.007426,               0.007426,               0.007426
                     29,                 1.1793,                0.98015,                 1.4259,                 1.2708,                 1.0967,                 1.4351,                0.86538,                0.75682,                0.85204,                0.54747,                 1.2231,                0.82106,                 1.5488,                  1.302,                0.82865,                 1.5785,               0.007327,               0.007327,               0.007327
                     30,                 1.1841,                0.98726,                 1.4259,                 1.2816,                 1.1071,                 1.4408,                0.87112,                0.77206,                0.86593,                 0.5608,                 1.2145,                0.79302,                 1.5349,                 1.3026,                 0.7714,                 1.5782,               0.007228,               0.007228,               0.007228
                     31,                  1.168,                0.97197,                 1.4177,                 1.2706,                 1.0855,                 1.4385,                0.84992,                0.75003,                0.85167,                 0.5523,                 1.2267,                0.81362,                 1.5408,                 1.2802,                0.83912,                 1.5533,               0.007129,               0.007129,               0.007129
                     32,                 1.1722,                0.95844,                 1.4146,                 1.2718,                 1.0698,                 1.4327,                0.84642,                0.76524,                0.85998,                0.55983,                 1.2118,                0.80804,                 1.5406,                 1.2796,                0.82968,                 1.5573,                0.00703,                0.00703,                0.00703
                     33,                 1.1567,                0.97015,                 1.4105,                 1.2565,                 1.0841,                 1.4319,                0.84523,                0.77155,                0.85872,                0.56195,                 1.2061,                0.79912,                 1.5255,                 1.2777,                0.82903,                 1.5513,               0.006931,               0.006931,               0.006931
