,precision,recall,f1-score,support
coccidiosis,0.9878048780487805,0.9659284497444633,0.9767441860465116,587.0
healthy,0.9106529209621993,0.9689213893967094,0.9388839681133747,547.0
newcastle disease,0.9876106194690265,0.9704347826086956,0.9789473684210527,575.0
salmo,0.9715370018975332,0.9499072356215214,0.9606003752345216,539.0
accuracy,0.9639679715302492,0.9639679715302492,0.9639679715302492,0.9639679715302492
macro avg,0.9644013550943848,0.9637979643428475,0.9637939744538652,2248.0
weighted avg,0.9650814774903994,0.9639679715302492,0.9642245137281276,2248.0
