                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2006,                 1.1443,                 1.4343,                 1.3035,                 1.2793,                 1.4557,                0.79954,                0.73814,                0.80257,                0.49255,                 1.2515,                0.93762,                 1.5603,                 1.3385,                0.94851,                 1.5973,               0.007822,               0.007822,               0.007822
                     25,                 1.1766,                 1.1218,                 1.4171,                 1.2782,                 1.2658,                 1.4372,                0.79466,                0.74019,                0.80102,                0.49669,                  1.225,                0.92901,                 1.5512,                 1.2993,                0.94673,                 1.5932,               0.007723,               0.007723,               0.007723
                     26,                 1.1902,                 1.1119,                 1.4235,                 1.2883,                 1.2437,                 1.4437,                0.82778,                0.73541,                0.80883,                0.49895,                 1.2359,                0.92133,                 1.5348,                 1.3072,                0.95968,                 1.5654,               0.007624,               0.007624,               0.007624
                     27,                 1.1863,                 1.1045,                 1.4139,                 1.2901,                 1.2199,                 1.4342,                0.79491,                0.74283,                0.80589,                0.50808,                 1.2101,                 0.9378,                 1.5211,                 1.2758,                0.95402,                 1.5411,               0.007525,               0.007525,               0.007525
                     28,                 1.1711,                 1.0975,                 1.4069,                 1.2721,                 1.2275,                  1.428,                0.80464,                0.75718,                0.80582,                0.50277,                 1.2504,                0.89905,                 1.5472,                 1.3153,                0.92717,                 1.5695,               0.007426,               0.007426,               0.007426
                     29,                 1.1532,                 1.0758,                 1.3935,                 1.2461,                 1.1993,                 1.4104,                0.80483,                0.73066,                0.80789,                0.50541,                 1.2049,                0.90059,                 1.5247,                 1.2874,                0.91878,                 1.5673,               0.007327,               0.007327,               0.007327
                     30,                 1.1647,                 1.0749,                 1.4024,                  1.268,                 1.1981,                  1.425,                0.81791,                0.75857,                 0.8241,                0.52038,                 1.2109,                0.86543,                  1.517,                 1.2828,                0.86473,                 1.5476,               0.007228,               0.007228,               0.007228
                     31,                 1.1535,                 1.0532,                 1.3914,                  1.253,                  1.178,                 1.4125,                0.81959,                0.74426,                0.81786,                0.51852,                 1.2217,                0.86294,                 1.5339,                 1.2892,                0.87376,                  1.566,               0.007129,               0.007129,               0.007129
                     32,                 1.1531,                  1.042,                 1.3938,                 1.2565,                 1.1586,                 1.4165,                0.84398,                 0.7387,                0.81689,                0.51481,                 1.2123,                0.87442,                 1.5228,                  1.272,                0.90721,                 1.5512,                0.00703,                0.00703,                0.00703
                     33,                 1.1455,                 1.0506,                  1.391,                 1.2475,                 1.1616,                 1.4092,                0.80061,                0.76666,                0.82911,                0.52575,                 1.2106,                0.86658,                 1.5133,                  1.285,                0.87494,                 1.5456,               0.006931,               0.006931,               0.006931
                     34,                 1.1394,                 1.0296,                 1.3855,                 1.2354,                 1.1555,                 1.4029,                0.83182,                0.74724,                0.82771,                0.51665,                 1.2055,                0.84802,                 1.5215,                 1.2723,                0.87779,                 1.5413,               0.006832,               0.006832,               0.006832
                     35,                 1.1465,                 1.0416,                  1.384,                  1.237,                 1.1742,                 1.4017,                0.83315,                0.74724,                0.82188,                0.52779,                 1.2051,                0.83884,                 1.5155,                 1.2538,                0.86519,                 1.5388,               0.006733,               0.006733,               0.006733
                     36,                 1.1276,                 1.0187,                 1.3722,                 1.2216,                  1.136,                 1.3925,                 0.8148,                0.76649,                0.82677,                0.52139,                 1.1897,                0.86341,                  1.501,                 1.2524,                0.89382,                 1.5234,               0.006634,               0.006634,               0.006634
                     37,                  1.129,                 1.0332,                 1.3797,                 1.2235,                 1.1512,                 1.3933,                0.83425,                 0.7714,                0.83277,                0.52806,                 1.1992,                0.85711,                 1.5078,                 1.2573,                0.85706,                 1.5326,               0.006535,               0.006535,               0.006535
                     38,                 1.1167,                 1.0028,                  1.369,                 1.2097,                 1.1201,                 1.3876,                0.80487,                0.78707,                0.82435,                0.53208,                 1.1962,                0.82393,                 1.5134,                  1.249,                0.86783,                 1.5294,               0.006436,               0.006436,               0.006436
