epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9785360097885132,9.999999747378752e-05,0.07958602905273438,0.96875,0.1102895736694336
1,0.96875,9.999999747378752e-05,0.06516225636005402,1.0,0.04179254546761513
2,0.9803970456123352,9.999999747378752e-05,0.060711976140737534,0.983134925365448,0.10001876205205917
3,0.9375,9.999999747378752e-05,0.1069246232509613,1.0,0.1086508184671402
4,0.9858560562133789,9.999999747378752e-05,0.049006085842847824,0.9836309552192688,0.07598499953746796
5,0.96875,9.999999747378752e-05,0.051426973193883896,1.0,0.050844985991716385
6,0.9880893230438232,9.999999747378752e-05,0.03708883002400398,0.9846230149269104,0.08101557940244675
7,1.0,9.999999747378752e-06,0.017842495813965797,1.0,0.08194896578788757
8,0.9919354915618896,9.999999747378752e-06,0.027802616357803345,0.9851190447807312,0.07825057208538055
9,1.0,9.999999747378752e-06,0.009908891282975674,1.0,0.02437412738800049
10,0.9944168925285339,9.999999747378752e-06,0.022043582051992416,0.9851190447807312,0.07118792831897736
11,1.0,9.999999747378752e-06,0.00417099567130208,1.0,0.001218964345753193
12,0.9949131608009338,9.999999747378752e-06,0.019324632361531258,0.9861111044883728,0.06209166720509529
13,1.0,9.999999747378752e-06,0.009170658886432648,1.0,0.00019667443120852113
14,0.9946650266647339,9.999999747378752e-06,0.019659165292978287,0.9861111044883728,0.06374922394752502
15,1.0,9.999999747378752e-06,0.014039929956197739,1.0,0.00010044174996437505
16,0.9956575632095337,9.999999747378752e-06,0.01636868342757225,0.985615074634552,0.06061418727040291
17,1.0,9.999999747378752e-06,0.007503588683903217,1.0,0.0001001952332444489
18,0.996277928352356,9.999999747378752e-06,0.014001649804413319,0.9866071343421936,0.059116777032613754
19,1.0,9.999999974752427e-07,0.00672340439632535,1.0,0.00017195503460243344
20,0.9954094290733337,9.999999974752427e-07,0.01577683724462986,0.9871031641960144,0.05767125263810158
21,1.0,9.999999974752427e-07,0.012280583381652832,1.0,0.00013988171122036874
22,0.995781660079956,9.999999974752427e-07,0.01518371980637312,0.9866071343421936,0.05688416585326195
23,1.0,9.999999974752427e-07,0.014723626896739006,1.0,0.00012511402019299567
24,0.9956575632095337,1.0000000116860974e-07,0.015029454603791237,0.9871031641960144,0.0560588464140892
25,1.0,1.0000000116860974e-07,0.01289137452840805,1.0,0.0002883611305151135
26,0.9966500997543335,1.0000000116860974e-07,0.013764948584139347,0.9866071343421936,0.05628891661763191
27,1.0,1.0000000116860974e-07,0.005474621430039406,1.0,6.272547034313902e-05
28,0.9966500997543335,1.0000000116860974e-07,0.013537882827222347,0.9871031641960144,0.05514921993017197
29,1.0,1.0000000116860974e-07,0.01974857971072197,1.0,6.528827361762524e-05
