,precision,recall,f1-score,support
coccidiosis,0.9846678023850085,0.9846678023850085,0.9846678023850085,587.0
healthy,0.9349736379613357,0.9725776965265083,0.9534050179211471,547.0
newcastle disease,0.9912587412587412,0.9860869565217392,0.988666085440279,575.0
salmo,0.9807692307692307,0.9461966604823747,0.9631728045325778,539.0
accuracy,0.972864768683274,0.972864768683274,0.972864768683274,0.972864768683274
macro avg,0.9729173530935791,0.9723822789789077,0.972477927569753,2248.0
weighted avg,0.9733269446500188,0.972864768683274,0.9729295754333128,2248.0
